Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY
20140904SEA,2014-09-04 20:42:00,SEA,GNB,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907CHI,2014-09-07 13:00:00,CHI,BUF,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907BAL,2014-09-07 13:02:00,BAL,CIN,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907TAM,2014-09-07 16:25:00,TAM,CAR,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907STL,2014-09-07 13:00:00,STL,MIN,-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907DAL,2014-09-07 16:25:00,DAL,SFO,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907KAN,2014-09-07 13:02:00,KAN,TEN,-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907DEN,2014-09-07 20:30:00,DEN,IND,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907PHI,2014-09-07 13:02:00,PHI,JAX,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907MIA,2014-09-07 13:03:00,MIA,NWE,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907NYJ,2014-09-07 13:02:00,NYJ,OAK,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907HOU,2014-09-07 13:03:00,HOU,WAS,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907PIT,2014-09-07 13:02:00,PIT,CLE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140907ATL,2014-09-07 13:03:00,ATL,NOR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140908DET,2014-09-08 19:11:00,DET,NYG,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140908ARI,2014-09-08 21:20:00,ARI,SDG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20140911BAL,2014-09-11 20:28:00,BAL,PIT,20,7.5,4.0,6.0,6.5,0.25,0.5,0.0,0.25,94.0,82.25,8.75,15.5,0.25,0.25,0.75,0.75,3.5,4.0,7.25,5.0,31.75,23.5
20140914WAS,2014-09-14 13:05:00,WAS,JAX,31,4.25,1.5,4.5,5.0,0.25,0.75,0.25,0.5,60.5,60.25,10.75,9.25,0.0,0.0,0.75,0.75,6.0,6.5,6.0,5.75,16.0,32.75
20140914MIN,2014-09-14 13:05:00,MIN,NWE,-23,5.0,8.5,5.0,4.5,0.75,0.5,0.5,0.0,56.5,42.5,14.0,6.25,0.0,0.0,1.0,0.0,5.75,0.0,5.0,8.0,22.25,46.25
20140914TAM,2014-09-14 16:05:00,TAM,STL,-2,1.5,3.5,3.75,4.25,1.0,0.75,0.0,0.25,61.5,40.5,9.0,8.75,0.5,0.5,1.25,0.75,6.75,5.25,5.5,4.25,18.0,25.5
20140914NYG,2014-09-14 13:04:00,NYG,ARI,-11,4.5,3.5,5.5,4.0,0.5,0.0,0.5,0.0,73.5,36.0,9.25,8.25,0.0,0.5,0.5,0.5,2.5,4.75,6.5,5.5,27.25,13.25
20140914TEN,2014-09-14 13:03:00,TEN,DAL,-16,4.25,6.5,6.5,6.0,0.75,0.25,0.25,0.0,63.75,60.75,9.25,8.25,0.75,0.0,0.75,1.0,6.5,5.75,5.75,9.5,31.75,40.5
20140914BUF,2014-09-14 13:02:00,BUF,MIA,19,8.25,5.75,6.25,3.75,0.75,0.25,0.5,0.0,42.25,41.75,8.0,5.5,0.25,0.25,0.25,0.25,2.25,1.5,9.5,8.25,47.75,48.25
20140914CLE,2014-09-14 13:03:00,CLE,NOR,2,8.5,6.75,7.5,5.75,0.25,0.0,0.25,0.0,83.25,49.5,10.5,7.5,0.25,0.0,0.0,0.75,0.0,6.0,7.0,7.75,34.75,47.75
20140914OAK,2014-09-14 16:25:00,OAK,HOU,-16,4.25,3.5,4.0,2.75,0.5,0.25,0.25,0.0,51.5,33.25,5.5,8.0,0.0,0.0,0.0,0.5,0.0,4.5,8.5,3.75,28.75,6.25
20140914GNB,2014-09-14 16:25:00,GNB,NYJ,7,4.75,4.0,5.0,4.75,0.5,0.25,0.25,0.0,47.5,43.75,7.25,8.25,0.25,0.25,0.5,0.75,7.75,3.5,8.5,5.25,53.0,20.0
20140914SDG,2014-09-14 16:05:00,SDG,SEA,9,9.0,4.25,6.25,3.75,0.5,0.25,0.25,0.0,47.75,59.5,7.0,9.0,0.0,0.25,0.25,0.0,0.0,0.0,9.25,6.0,51.75,13.0
20140914CIN,2014-09-14 13:05:00,CIN,ATL,14,9.25,5.75,7.0,4.0,0.25,0.0,0.25,0.0,111.25,75.25,10.75,9.5,0.0,0.0,0.25,0.0,0.75,0.0,6.25,6.5,30.75,19.75
20140914DEN,2014-09-14 16:25:00,DEN,KAN,7,2.5,7.75,3.75,6.0,0.0,0.5,0.0,0.0,44.5,64.75,8.75,9.0,0.75,0.0,1.0,0.25,6.0,2.5,4.25,8.0,16.75,25.5
