Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY,ADaysSLG,HDaysSLG,Aqb_relinquished,Hqb_relinquished,Arb_relinquished,Hrb_relinquished,Awrte_relinquished,Hwrte_relinquished,Aqb_val_lost,Hqb_val_lost,Arb_val_lost,Hrb_val_lost,Awrte_val_lost,Hwrte_val_lost,Anon_key_relinquished,Hnon_key_relinquished,AZDiff,H_LWGAdv,Turf,Grass,Hybrid,Roof_Open,Roof_Fixed,Roof_Retract
20140907PIT,2014-09-07 13:02:00,PIT,CLE,3,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,235.0,35.0,35.0,0.5,0.5,0.0,0.0,0.0,0.0,29.0,29.0,115.0,115.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0.0,0,1,0,1,0,0
20140907ATL,2014-09-07 13:03:00,ATL,NOR,3,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,235.0,35.0,35.0,0.5,0.5,0.0,0.0,0.0,0.0,29.0,29.0,115.0,115.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,1,0,0,0,1,0
20140908DET,2014-09-08 19:11:00,DET,NYG,21,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,235.0,35.0,35.0,0.5,0.5,0.0,0.0,0.0,0.0,29.0,29.0,115.0,115.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,0
20140908ARI,2014-09-08 21:20:00,ARI,SDG,1,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,235.0,35.0,35.0,0.5,0.5,0.0,0.0,0.0,0.0,29.0,29.0,115.0,115.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,0,0,1
20140911BAL,2014-09-11 20:28:00,BAL,PIT,20,24.75,21.25,6.0,6.5,0.25,0.5,0.0,0.25,270.25,258.5,35.0,41.75,0.625,0.625,0.75,0.75,3.5,4.0,29.0,26.75,118.0,109.75,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0,1,0,1,0,0
20140914WAS,2014-09-14 13:05:00,WAS,JAX,31,21.5,18.75,4.5,5.0,0.25,0.75,0.25,0.5,236.75,236.5,37.0,35.5,0.375,0.375,0.75,0.75,6.0,6.5,27.75,27.5,102.25,119.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,-3,0.0,0,1,0,1,0,0
20140914MIN,2014-09-14 13:05:00,MIN,NWE,-23,22.25,25.75,5.0,4.5,0.75,0.5,0.5,0.0,232.75,218.75,40.25,32.5,0.375,0.375,1.0,0.0,5.75,0.0,26.75,29.75,108.5,132.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,0.0,1,0,0,1,0,0
20140914TAM,2014-09-14 16:05:00,TAM,STL,-2,18.75,20.75,3.75,4.25,1.0,0.75,0.0,0.25,237.75,216.75,35.25,35.0,0.875,0.875,1.25,0.75,6.75,5.25,27.25,26.0,104.25,111.75,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3,0.0,0,1,0,1,0,0
20140914NYG,2014-09-14 13:04:00,NYG,ARI,-11,21.75,20.75,5.5,4.0,0.5,0.0,0.5,0.0,249.75,212.25,35.5,34.5,0.375,0.875,0.5,0.5,2.5,4.75,28.25,27.25,113.5,99.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2,-1.0,1,0,0,1,0,0
20140914TEN,2014-09-14 13:03:00,TEN,DAL,-16,21.5,23.75,6.5,6.0,0.75,0.25,0.25,0.0,240.0,237.0,35.5,34.5,1.125,0.375,0.75,1.0,6.5,5.75,27.5,31.25,118.0,126.75,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,-1.0,0,1,0,1,0,0
20140914BUF,2014-09-14 13:02:00,BUF,MIA,19,25.5,23.0,6.25,3.75,0.75,0.25,0.5,0.0,218.5,218.0,34.25,31.75,0.625,0.625,0.25,0.25,2.25,1.5,31.25,30.0,134.0,134.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,-1.0,1,0,0,1,0,0
20140914CLE,2014-09-14 13:03:00,CLE,NOR,2,25.75,24.0,7.5,5.75,0.25,0.0,0.25,0.0,259.5,225.75,36.75,33.75,0.625,0.375,0.0,0.75,0.0,6.0,28.75,29.5,121.0,134.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,0.0,0,1,0,1,0,0
20140914OAK,2014-09-14 16:25:00,OAK,HOU,-16,21.5,20.75,4.0,2.75,0.5,0.25,0.25,0.0,227.75,209.5,31.75,34.25,0.375,0.375,0.0,0.5,0.0,4.5,30.25,25.5,115.0,92.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-2,-1.0,0,1,0,1,0,0
20140914GNB,2014-09-14 16:25:00,GNB,NYJ,7,22.0,21.25,5.0,4.75,0.5,0.25,0.25,0.0,223.75,220.0,33.5,34.5,0.625,0.625,0.5,0.75,7.75,3.5,30.25,27.0,139.25,106.25,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1,-1.0,0,0,1,1,0,0
20140914SDG,2014-09-14 16:05:00,SDG,SEA,9,26.25,21.5,6.25,3.75,0.5,0.25,0.25,0.0,224.0,235.75,33.25,35.25,0.375,0.625,0.25,0.0,0.0,0.0,31.0,27.75,138.0,99.25,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0,-1.0,0,1,0,1,0,0
20140914CIN,2014-09-14 13:05:00,CIN,ATL,14,26.5,23.0,7.0,4.0,0.25,0.0,0.25,0.0,287.5,251.5,37.0,35.75,0.375,0.375,0.25,0.0,0.75,0.0,28.0,28.25,117.0,106.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,-1.0,1,0,0,1,0,0
20140914DEN,2014-09-14 16:25:00,DEN,KAN,7,19.75,25.0,3.75,6.0,0.0,0.5,0.0,0.0,220.75,241.0,35.0,35.25,1.125,0.375,1.0,0.25,6.0,2.5,26.0,29.75,103.0,111.75,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1,0.0,0,1,0,1,0,0
20140914SFO,2014-09-14 20:31:00,SFO,CHI,-8,22.25,24.25,7.25,4.75,0.25,0.0,0.25,0.0,261.5,224.25,38.5,32.0,0.875,0.375,0.5,0.25,2.0,2.25,26.25,29.25,107.75,118.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-2,-1.0,0,1,0,1,0,0
20140914CAR,2014-09-14 13:04:00,CAR,DET,17,26.0,22.25,5.0,4.75,0.25,0.25,0.0,0.0,261.5,231.5,34.25,34.75,0.375,0.375,0.25,0.25,1.25,2.25,29.25,30.0,105.25,114.5,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,-1.0,0,1,0,1,0,0
20140915IND,2014-09-15 20:31:00,IND,PHI,-3,25.75,23.25,6.0,6.0,0.75,0.25,0.5,0.0,245.0,264.75,37.5,39.5,0.625,0.875,1.25,0.75,11.75,4.0,29.75,25.25,122.5,99.75,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,-1.0,1,0,0,0,0,1
20140918ATL,2014-09-18 20:26:00,ATL,TAM,42,20.0,23.200000000000003,7.0,9.4,0.8,0.2,0.2,0.2,208.4,272.4,32.2,38.400000000000006,0.9000000000000001,0.9000000000000001,0.8,0.6000000000000001,5.0,4.4,26.8,26.200000000000003,120.80000000000001,113.00000000000001,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,-1.0,1,0,0,0,1,0
20140921NWE,2014-09-21 13:02:00,NWE,OAK,7,19.400000000000002,23.8,6.6000000000000005,7.2,1.0,0.8,0.4,0.4,220.20000000000002,214.60000000000002,35.800000000000004,36.400000000000006,0.7000000000000001,0.30000000000000004,0.4,1.0,3.6,6.000000000000001,23.800000000000004,28.800000000000004,94.2,116.80000000000001,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.295240355230248,0.0,0.0,0.0,3,-1.0,1,0,0,1,0,0
20140921DET,2014-09-21 13:02:00,DET,GNB,12,23.2,22.2,8.8,8.2,0.8,0.8,0.2,0.4,238.0,259.8,36.0,37.0,0.5,0.5,1.4000000000000001,1.0,10.0,8.600000000000001,26.0,27.000000000000004,101.0,98.2,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1,-1.0,1,0,0,0,1,0
20140921PHI,2014-09-21 13:02:00,PHI,WAS,3,23.200000000000003,26.6,10.4,9.600000000000001,0.6000000000000001,0.6000000000000001,0.4,0.4,240.8,262.2,35.6,37.4,0.30000000000000004,0.7,1.2000000000000002,1.0,11.2,9.4,30.4,29.200000000000003,133.4,123.4,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.84387149784392,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3,-1.0,0,0,1,1,0,0
20140921MIA,2014-09-21 16:25:00,MIA,KAN,-19,19.200000000000003,22.400000000000002,8.600000000000001,9.600000000000001,0.2,0.8,0.0,0.6000000000000001,226.00000000000003,216.8,36.4,37.2,0.9,0.7,1.2000000000000002,1.0,6.4,8.0,27.0,29.2,109.0,123.2,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.281851997167693,0.0,0.0,2.0,2.0,1,0.0,1,0,0,1,0,0
20140921STL,2014-09-21 13:00:00,STL,DAL,-3,22.4,18.8,10.4,7.0,0.8,1.2000000000000002,0.4,0.2,221.6,234.20000000000002,34.2,34.0,0.9,0.7000000000000001,1.4000000000000001,1.4,10.8,8.4,30.6,27.6,138.4,107.2,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,-2,0.0,1,0,0,0,1,0
20140921CAR,2014-09-21 20:31:00,CAR,PIT,-18,21.0,22.6,8.200000000000001,7.800000000000001,0.6000000000000001,0.2,0.4,0.0,256.6,235.40000000000003,35.4,34.6,0.7,0.30000000000000004,1.0,1.0,5.800000000000001,7.8,26.800000000000004,28.8,114.2,104.00000000000001,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1,0,1,0,0
