Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY,ADaysSLG,HDaysSLG,Aqb_relinquished,Hqb_relinquished,Arb_relinquished,Hrb_relinquished,Awrte_relinquished,Hwrte_relinquished,Aqb_val_lost,Hqb_val_lost,Arb_val_lost,Hrb_val_lost,Awrte_val_lost,Hwrte_val_lost,Anon_key_relinquished,Hnon_key_relinquished,AZDiff,H_LWGAdv,Turf,Grass,Hybrid,Roof_Open,Roof_Fixed,Roof_Retract
20170907NWE,2017-09-07 20:30:00,NWE,KAN,-15,30.71767333722735,37.08185968660796,0.0,0.0,0.0,0.0,0.0,0.0,238.31251742699956,274.2124189496018,35.55208623783326,41.53540315826696,0.14560157674582627,0.09210702279965079,0.0,0.0,0.0,0.0,33.4380236860042,30.55161687159709,143.8471539590273,125.0855096653811,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20170910BUF,2017-09-10 13:00:00,BUF,NYJ,9,20.259048086906507,39.4271873011152,0.0,0.0,0.0,0.0,0.0,0.0,220.82394250717155,244.28690724321118,32.63732375119526,36.547817873868524,0.2030505295990719,0.13276900165557187,0.0,0.0,0.0,0.0,28.957473467931525,39.07799267573412,114.72357754155492,180.50695239227178,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20170910DET,2017-09-10 13:00:00,DET,ARI,12,34.537506505871136,37.336499561130495,0.0,0.0,0.0,0.0,0.0,0.0,279.7543666791397,268.1206987990908,42.459061113189954,40.520116466515134,0.08716338387864281,0.09823107788923909,0.0,0.0,0.0,0.0,27.28459038711031,32.10904436021755,103.84983751621701,135.2087883414141,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
20170910HOU,2017-09-10 13:00:00,HOU,JAX,-22,29.70181916717155,20.034039049521784,0.0,0.0,0.0,0.0,0.0,0.0,233.54899205405175,215.14385040281704,34.75816534234196,31.690641733802842,0.1577591413266836,0.23289604700839855,0.0,0.0,0.0,0.0,33.68390154394796,30.03970892788031,145.44536003566174,121.75810803122201,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20170910CLE,2017-09-10 13:00:00,CLE,PIT,-3,34.36758165021922,15.997574511136861,0.0,0.0,0.0,0.0,0.0,0.0,266.29563147697934,201.57203457130555,40.21593857949656,29.428672428550925,0.10022759294595866,0.35896568243808674,0.0,0.0,0.0,0.0,30.139480547513294,29.82649637084159,122.40662355883643,120.37222641047032,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20170910SFO,2017-09-10 16:25:00,SFO,CAR,-20,38.954790834380745,23.773790377429073,0.0,0.0,0.0,0.0,0.0,0.0,236.11293981620813,229.65646784297607,35.18548996936802,34.10941130716268,0.1509739333062215,0.169311475446148,0.0,0.0,0.0,0.0,40.516512708347236,29.806483892393015,189.85733260425707,120.2421453005546,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20170910TEN,2017-09-10 13:00:00,TEN,OAK,-10,27.751216310902194,28.95917459564102,0.0,0.0,0.0,0.0,0.0,0.0,243.39262122709587,234.14677015905173,36.39877020451598,34.85779502650862,0.13454398758639782,0.1561232307580864,0.0,0.0,0.0,0.0,29.935946109367116,32.956946307834656,121.08364971088625,140.72015100092526,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20170910CHI,2017-09-10 13:00:00,CHI,ATL,-6,38.86274615371932,14.85768776475651,0.0,0.0,0.0,0.0,0.0,0.0,283.5424365737437,200.66922833738593,43.09040609562395,29.278204722897655,0.08407880358552673,0.3723743213629389,0.0,0.0,0.0,0.0,29.902988795476855,29.115210581275,120.86942717059956,115.7488687782875,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20170910CIN,2017-09-10 13:00:00,CIN,BAL,-20,24.622877195019402,36.88085925660485,0.0,0.0,0.0,0.0,0.0,0.0,236.2942289054134,267.28893143610634,35.2157048175689,40.38148857268439,0.15051619804708605,0.09913102685137168,0.0,0.0,0.0,0.0,29.010695332590323,31.929369308371363,115.06951966183709,134.04090050441386,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20170910WAS,2017-09-10 13:00:00,WAS,PHI,-13,26.27237830770621,31.43971676863758,0.0,0.0,0.0,0.0,0.0,0.0,233.27941706636446,259.8353956589239,34.71323617772741,39.13923260982065,0.1585081437077928,0.10799732729217856,0.0,0.0,0.0,0.0,31.000254409195087,29.232796601815863,128.00165365976807,116.51317791180311,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,1.0,0.0,1.0,0.0,0.0
