Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY,AZone,AZoneVal,HZone,HZoneVal,AZDiff,A_DaysSLG,A_LWAwayG,A_LWHomeG,H_DaysSLG,H_LWAwayG,H_LWHomeG,H_LWGAdv,Turf,Grass,Hybrid,Roof_Open,Roof_Fixed,Roof_Retract
20150920PHI,2015-09-20 16:25:00,PHI,DAL,-10,6.75,6.0,6.75,5.75,0.75,0.0,0.25,0.0,89.0,84.0,11.25,13.0,0.5,0.5,0.0,0.0,0.0,0.0,5.75,4.0,20.0,15.75,CST,2,EST,3,1,7.0,0.0,1.0,6.0,1.0,0.0,-1.0,0,0,1,1,0,0
20150920GNB,2015-09-20 20:25:00,GNB,SEA,10,7.75,7.75,5.25,5.25,0.0,0.0,0.0,0.0,54.75,47.25,10.25,5.75,0.25,0.0,1.5,0.0,8.0,0.0,8.0,7.5,31.0,33.25,PST,0,CST,2,2,7.0,1.0,0.0,7.0,1.0,0.0,0.0,0,0,1,1,0,0
20150920CAR,2015-09-20 13:02:00,CAR,HOU,7,5.0,5.0,6.0,4.25,0.5,0.0,0.25,0.0,74.5,39.5,11.75,7.75,0.25,0.25,1.25,0.5,9.0,4.25,5.25,8.75,24.5,26.25,CST,2,EST,3,1,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,0,1,0,1,0,0
20150920NYG,2015-09-20 13:02:00,NYG,ATL,-4,6.5,6.5,5.25,4.5,0.0,0.0,0.0,0.0,72.5,47.5,8.5,9.0,0.5,0.0,0.25,0.25,2.0,0.75,8.75,6.0,26.25,24.75,EST,3,EST,3,0,6.0,0.0,1.0,7.0,1.0,0.0,-1.0,1,0,0,1,0,0
20150920MIN,2015-09-20 13:03:00,MIN,DET,10,7.0,0.75,4.0,4.25,0.25,0.0,0.0,0.0,58.25,44.25,7.5,8.0,0.5,0.25,0.25,1.25,3.25,13.5,4.0,4.25,17.25,17.75,EST,3,CST,2,-1,7.0,1.0,0.0,6.0,1.0,0.0,0.0,1,0,0,1,0,0
20150920JAX,2015-09-20 16:05:00,JAX,MIA,3,4.25,2.25,4.75,4.5,0.5,0.25,0.25,0.25,45.5,42.25,8.5,10.0,0.0,0.5,0.75,1.25,11.0,3.5,4.5,5.25,18.5,24.0,EST,3,EST,3,0,7.0,1.0,0.0,7.0,0.0,1.0,1.0,0,1,0,1,0,0
20150920CLE,2015-09-20 13:02:00,CLE,TEN,14,10.5,2.5,5.0,3.75,0.5,1.0,0.25,1.0,46.25,54.25,3.75,8.0,0.0,0.25,0.5,0.75,6.0,3.5,8.0,7.0,31.0,26.0,CST,2,EST,3,1,7.0,1.0,0.0,7.0,1.0,0.0,0.0,0,1,0,1,0,0
20150920PIT,2015-09-20 13:02:00,PIT,SFO,25,5.0,5.25,6.25,5.75,0.25,0.0,0.25,0.0,41.25,82.5,6.5,9.5,0.0,0.25,0.25,0.75,0.0,5.25,9.75,6.25,57.5,33.5,PST,0,EST,3,3,6.0,0.0,1.0,10.0,1.0,0.0,-1.0,0,1,0,1,0,0
20150920BUF,2015-09-20 13:02:00,BUF,NWE,-8,7.0,6.75,6.5,3.75,0.25,0.5,0.0,0.0,70.25,48.75,8.0,4.75,0.0,0.0,0.5,0.0,1.75,0.0,6.0,9.0,20.0,36.75,EST,3,EST,3,0,10.0,0.0,1.0,7.0,0.0,1.0,0.0,1,0,0,1,0,0
20150921IND,2015-09-21 20:30:00,IND,NYJ,-13,7.75,3.5,4.5,5.75,0.25,0.5,0.0,0.25,44.75,60.0,6.0,12.25,0.25,0.5,0.0,0.5,0.0,0.75,9.0,4.25,38.5,16.0,EST,3,EST,3,0,8.0,0.0,1.0,8.0,1.0,0.0,-1.0,1,0,0,0,0,1
20150924NYG,2015-09-24 20:26:00,NYG,WAS,11,6.800000000000001,9.2,7.800000000000001,7.4,0.4,0.4,0.2,0.2,75.80000000000001,96.2,11.600000000000001,15.2,0.4,0.0,0.6000000000000001,0.6000000000000001,4.0,0.8,14.8,9.400000000000002,68.6,39.2,PST,0,EST,3,3,4.0,0.0,1.0,4.0,0.0,1.0,0.0,1,0,0,1,0,0
20150927CAR,2015-09-27 13:03:00,CAR,NOR,5,7.6000000000000005,8.8,7.800000000000001,8.4,1.0,0.0,0.4,0.0,114.6,67.2,17.200000000000003,13.600000000000001,0.4,0.4,1.2000000000000002,0.8,7.4,6.800000000000001,9.4,13.600000000000001,31.6,55.4,CST,2,EST,3,1,7.0,0.0,1.0,7.0,0.0,1.0,0.0,0,1,0,1,0,0
20150927NYJ,2015-09-27 13:03:00,NYJ,PHI,-7,6.800000000000001,10.2,8.0,7.6,0.2,0.4,0.2,0.0,111.0,84.4,17.8,11.600000000000001,0.8,0.4,0.2,0.2,1.0,0.2,6.6000000000000005,12.600000000000001,14.000000000000002,51.0,EST,3,EST,3,0,7.0,0.0,1.0,6.0,1.0,0.0,-1.0,1,0,0,1,0,0
20150927DAL,2015-09-27 13:03:00,DAL,ATL,-11,10.0,9.4,9.2,9.600000000000001,0.0,1.0,0.0,0.6000000000000001,127.2,121.2,16.0,15.8,0.4,0.4,0.6000000000000001,0.6000000000000001,5.0,3.6,11.4,11.200000000000001,32.2,37.8,EST,3,CST,2,-1,7.0,1.0,0.0,7.0,1.0,0.0,0.0,1,0,0,0,0,1
20150927DET,2015-09-27 20:30:00,DET,DEN,-12,10.0,8.8,7.4,8.2,0.0,0.6000000000000001,0.0,0.4,77.6,103.6,17.0,16.6,0.4,0.6000000000000001,1.4000000000000001,0.4,8.6,2.8000000000000003,9.4,6.4,26.0,21.400000000000002,MST,1,EST,3,2,10.0,1.0,0.0,7.0,1.0,0.0,0.0,1,0,0,0,1,0
20150927NWE,2015-09-27 13:06:00,NWE,JAX,34,6.4,13.600000000000001,7.4,10.8,0.2,0.6000000000000001,0.2,0.4,88.4,146.4,14.600000000000001,18.200000000000003,0.4,0.0,1.0,0.8,2.8000000000000003,4.4,10.8,7.800000000000001,43.800000000000004,27.200000000000003,EST,3,EST,3,0,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,1,0,0,1,0,0
20150927MIA,2015-09-27 16:25:00,MIA,BUF,-27,11.8,7.4,7.6000000000000005,7.200000000000001,1.0,0.6000000000000001,0.0,0.2,76.80000000000001,105.19999999999999,9.8,15.600000000000001,0.6000000000000001,0.0,1.6,1.0,10.600000000000001,11.8,12.600000000000001,6.800000000000001,61.400000000000006,23.200000000000003,EST,3,EST,3,0,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,1,0,0,1,0,0
20150927STL,2015-09-27 13:00:00,STL,PIT,-6,12.8,8.8,8.8,6.0,0.0,1.0,0.0,0.6000000000000001,139.8,84.4,13.0,11.8,0.2,0.0,0.6000000000000001,0.6000000000000001,4.2,5.0,10.0,7.800000000000001,43.6,28.6,EST,3,CST,2,-1,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,1,0,0,0,1,0
20150927TEN,2015-09-27 13:03:00,TEN,IND,-2,4.2,11.200000000000001,8.0,8.2,0.8,1.2000000000000002,0.6000000000000001,0.8,98.0,80.80000000000001,17.200000000000003,10.4,1.0,0.0,0.4,1.8000000000000003,0.6000000000000001,12.400000000000002,8.200000000000001,12.4,31.400000000000002,58.0,EST,3,CST,2,-1,6.0,0.0,1.0,7.0,1.0,0.0,-1.0,0,1,0,1,0,0
20150927BAL,2015-09-27 13:02:00,BAL,CIN,-4,11.400000000000002,9.200000000000001,8.4,8.0,0.4,0.2,0.4,0.2,96.60000000000001,96.80000000000001,12.0,15.4,0.0,0.6000000000000001,0.0,0.4,0.0,3.4000000000000004,13.4,9.600000000000001,60.400000000000006,36.400000000000006,EST,3,EST,3,0,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,0,1,0,1,0,0
20150927ARI,2015-09-27 16:05:00,ARI,SFO,40,7.6,15.8,10.4,9.2,0.6000000000000001,0.4,0.4,0.4,92.6,98.4,14.400000000000002,11.200000000000001,0.0,0.2,1.2,0.0,7.4,0.0,14.0,10.600000000000001,68.2,47.0,PST,0,MST,1,1,7.0,1.0,0.0,7.0,1.0,0.0,0.0,0,1,0,0,0,1
20150927CLE,2015-09-27 13:02:00,CLE,OAK,-7,10.0,7.6000000000000005,8.600000000000001,5.6,0.4,1.2000000000000002,0.2,0.8,106.80000000000001,75.0,17.8,9.4,0.4,0.2,0.6000000000000001,1.0,4.0,5.6000000000000005,7.0,11.600000000000001,32.0,44.0,PST,0,EST,3,3,7.0,0.0,1.0,7.0,0.0,1.0,0.0,0,1,0,1,0,0
20150927HOU,2015-09-27 13:03:00,HOU,TAM,10,8.0,7.4,6.800000000000001,9.0,0.8,0.6000000000000001,0.4,0.2,75.0,107.4,10.8,21.0,0.4,0.4,1.4000000000000001,1.2,8.4,8.2,12.2,8.8,46.2,31.800000000000004,EST,3,CST,2,-1,7.0,1.0,0.0,7.0,1.0,0.0,0.0,1,0,0,0,0,1
20150927MIN,2015-09-27 13:02:00,MIN,SDG,17,10.4,5.800000000000001,9.4,7.4,0.8,0.4,0.6000000000000001,0.2,122.0,65.6,13.600000000000001,10.0,0.6000000000000001,0.2,1.2000000000000002,1.2,6.800000000000001,11.200000000000001,11.2,11.8,45.400000000000006,54.00000000000001,PST,0,CST,2,2,7.0,1.0,0.0,7.0,0.0,1.0,1.0,1,0,0,1,0,0
20150927SEA,2015-09-27 16:26:00,SEA,CHI,26,9.200000000000001,9.600000000000001,8.6,8.4,0.6000000000000001,0.2,0.0,0.2,87.80000000000001,84.80000000000001,13.600000000000001,14.200000000000001,0.6000000000000001,0.4,0.8,1.6,5.4,6.6000000000000005,12.200000000000001,11.4,59.60000000000001,48.6,CST,2,PST,0,-2,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,1,0,0,1,0,0
20150928GNB,2015-09-28 20:30:00,GNB,KAN,10,10.200000000000001,11.600000000000001,7.800000000000001,8.4,0.8,0.4,0.6000000000000001,0.2,80.0,84.60000000000001,11.600000000000001,11.200000000000001,0.4,0.0,1.4,0.4,6.800000000000001,3.0,12.0,11.8,48.800000000000004,52.0,CST,2,CST,2,0,11.0,0.0,1.0,8.0,0.0,1.0,0.0,0,0,1,1,0,0
20151001PIT,2015-10-01 20:26:00,PIT,BAL,-3,11.666666666666668,12.666666666666668,9.833333333333334,10.166666666666668,0.33333333333333337,0.16666666666666666,0.16666666666666669,0.0,141.0,149.33333333333334,21.0,15.833333333333334,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.3333333333333335,2.833333333333334,9.0,11.000000000000002,12.0,36.33333333333334,46.66666666666667,EST,3,EST,3,0,4.0,0.0,1.0,4.0,1.0,0.0,-1.0,0,1,0,1,0,0
20151004SFO,2015-10-04 16:25:00,SFO,GNB,-14,16.0,7.5,11.333333333333334,10.333333333333334,0.33333333333333337,0.6666666666666667,0.16666666666666669,0.33333333333333337,124.66666666666669,86.0,15.166666666666668,15.166666666666668,0.0,0.6666666666666666,0.5,1.3333333333333333,3.833333333333333,8.5,15.166666666666668,16.5,63.833333333333336,74.0,CST,2,PST,0,-2,6.0,0.0,1.0,7.0,1.0,0.0,-1.0,0,1,0,1,0,0
20151004ATL,2015-10-04 13:02:00,ATL,HOU,27,9.333333333333334,14.833333333333334,12.5,12.0,0.8333333333333335,0.0,0.16666666666666669,0.0,127.33333333333334,152.66666666666666,24.0,19.333333333333336,0.5,0.33333333333333337,1.1666666666666667,0.6666666666666667,7.0,5.0,15.0,14.833333333333332,57.5,53.16666666666667,CST,2,EST,3,1,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,1,0,0,0,1,0
20151004DEN,2015-10-04 16:25:00,DEN,MIN,3,10.0,12.333333333333334,9.166666666666668,9.333333333333334,0.33333333333333337,0.16666666666666666,0.16666666666666669,0.16666666666666666,74.83333333333333,116.83333333333334,12.333333333333334,21.166666666666668,0.33333333333333337,0.5,1.0,1.3333333333333335,9.333333333333334,9.0,15.0,11.0,72.16666666666667,28.5,CST,2,MST,1,-1,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,0,1,0,1,0,0
20151004CIN,2015-10-04 13:03:00,CIN,KAN,15,13.166666666666668,14.166666666666668,10.333333333333334,10.833333333333334,1.0,0.5,0.5000000000000001,0.5,108.5,142.5,16.333333333333336,15.333333333333332,0.5,0.16666666666666666,2.333333333333333,0.3333333333333333,12.166666666666668,1.8333333333333333,13.0,16.333333333333336,53.16666666666667,64.66666666666667,CST,2,EST,3,1,6.0,1.0,0.0,7.0,1.0,0.0,0.0,1,0,0,1,0,0
20151004BUF,2015-10-04 13:02:00,BUF,NYG,-14,13.0,16.666666666666668,9.333333333333334,9.833333333333334,0.5,0.8333333333333334,0.16666666666666669,0.0,126.66666666666667,110.16666666666669,18.0,13.0,0.0,0.5000000000000001,0.5000000000000001,1.3333333333333335,0.6666666666666667,8.833333333333336,13.000000000000002,16.166666666666668,46.66666666666667,76.33333333333334,EST,3,EST,3,0,10.0,0.0,1.0,7.0,1.0,0.0,-1.0,1,0,0,1,0,0
20151004ARI,2015-10-04 16:25:00,ARI,STL,-2,8.333333333333334,21.0,7.0,12.333333333333332,0.8333333333333334,0.6666666666666667,0.5000000000000001,0.33333333333333337,101.5,133.16666666666669,14.666666666666668,14.666666666666668,0.16666666666666666,0.33333333333333337,0.8333333333333335,0.16666666666666666,5.833333333333334,0.6666666666666666,9.5,15.000000000000002,35.66666666666667,62.333333333333336,CST,2,MST,1,-1,7.0,0.0,1.0,7.0,0.0,1.0,0.0,0,1,0,0,0,1
