Season,Start,Week,Away,Home,APts,HPts,OverUnder,VegasLine,AFD,AFum,AFumL,APY,APA,API,HPS,HPSY,ARA,ARY,HFD,HFum,HFumL,HPY,HPA,HPI,HPS,HPSY,HRA,HRY
2013,2013-09-05 21:13:00,1,BAL,DEN,27,49,48.0,-7.5,24,1,0,335,62,2,4,27,21,58,24,3,2,445,42,0,3,17,23,65
2013,2013-09-08 16:23:00,1,ARI,STL,24,27,41.5,-3.5,25,4,1,304,40,1,4,23,26,86,20,2,1,299,38,1,0,0,24,67
2013,2013-09-08 20:30:00,1,NYG,DAL,31,36,49.5,-3.5,21,3,3,428,42,3,3,22,14,50,22,2,0,244,49,1,2,19,23,87
2013,2013-09-08 13:02:00,1,MIN,DET,24,34,46.0,-4.5,16,1,1,225,28,3,3,11,22,105,28,3,1,357,43,1,0,0,34,112
2013,2013-09-08 13:03:00,1,KAN,JAX,28,2,42.5,4.5,17,1,0,171,34,0,1,2,27,121,12,0,0,107,41,2,6,50,23,71
2013,2013-09-08 13:03:00,1,ATL,NOR,17,23,54.5,-3.5,18,2,1,279,38,1,3,25,14,88,18,0,0,341,35,1,2,16,29,78
2013,2013-09-08 13:02:00,1,NWE,BUF,23,21,50.5,10.5,26,2,2,273,52,1,3,15,34,158,15,3,2,150,27,0,0,0,34,136
2013,2013-09-08 13:03:00,1,TAM,NYJ,17,18,40.0,6.0,12,3,1,185,31,1,3,25,25,65,22,2,1,214,39,1,5,42,29,90
2013,2013-09-08 13:02:00,1,CIN,CHI,21,24,41.5,-3.0,18,2,1,277,33,2,1,5,21,63,17,0,0,242,33,1,0,0,28,81
2013,2013-09-08 13:02:00,1,OAK,IND,17,21,45.0,-11.5,20,0,0,201,29,2,1,16,33,171,18,0,0,147,23,0,4,31,26,127
2013,2013-09-08 13:02:00,1,TEN,PIT,16,9,42.0,-6.0,17,1,0,117,20,0,1,8,42,112,14,2,1,163,33,1,5,28,15,31
2013,2013-09-08 16:26:00,1,GNB,SFO,28,34,48.0,-5.0,23,1,1,322,37,1,2,11,19,63,23,0,0,404,39,0,2,8,34,90
2013,2013-09-08 13:04:00,1,SEA,CAR,12,7,44.5,3.5,18,1,1,300,33,0,2,20,26,70,17,3,2,119,23,0,1,6,26,134
2013,2013-09-08 13:02:00,1,MIA,CLE,23,10,40.5,-2.5,18,0,0,255,38,1,4,17,23,20,20,2,0,244,53,3,6,45,13,47
2013,2013-09-09 22:25:00,1,HOU,SDG,31,28,44.0,6.5,26,0,0,329,45,1,2,17,28,120,14,0,0,183,29,1,2,12,20,80
2013,2013-09-09 19:10:00,1,PHI,WAS,33,27,52.0,-4.5,26,2,2,180,25,0,3,23,49,263,25,2,1,308,49,2,3,21,18,74
2013,2013-09-12 20:29:00,2,NYJ,NWE,10,13,43.0,-11.5,15,2,1,189,35,3,4,25,32,129,9,1,0,178,39,0,1,7,24,54
2013,2013-09-15 16:05:00,2,NOR,TAM,16,14,48.5,4.0,21,1,0,296,46,2,4,26,20,75,14,1,1,113,22,1,1,12,33,160
2013,2013-09-15 13:02:00,2,CAR,BUF,23,24,43.5,3.5,25,0,0,183,38,1,6,46,32,125,24,1,1,287,39,1,1,9,33,149
2013,2013-09-15 13:02:00,2,DAL,KAN,16,17,45.0,-3.0,20,2,2,281,42,0,3,17,16,37,19,0,0,199,36,0,4,24,25,114
2013,2013-09-15 13:03:00,2,TEN,HOU,24,30,42.5,-9.0,14,1,0,129,30,0,4,19,33,119,25,0,0,280,48,2,2,18,28,172
2013,2013-09-15 13:03:00,2,STL,ATL,24,31,47.5,-5.5,24,0,0,352,55,1,0,0,18,69,19,0,0,357,43,0,2,17,16,36
2013,2013-09-15 13:02:00,2,MIA,IND,24,20,43.5,-3.0,21,3,1,297,34,0,5,22,27,101,23,1,0,315,43,1,3,6,26,133
2013,2013-09-15 16:25:00,2,DEN,NYG,41,23,52.5,4.0,23,2,1,307,43,0,0,0,29,107,28,0,0,353,49,4,1,9,19,23
2013,2013-09-15 20:31:00,2,SFO,SEA,3,29,43.5,-2.5,12,2,2,107,28,3,3,20,20,100,19,1,0,118,19,1,4,24,47,172
2013,2013-09-15 13:02:00,2,SDG,PHI,33,30,51.0,-7.5,33,3,2,413,47,0,1,6,31,126,22,1,0,411,37,0,2,17,19,100
2013,2013-09-15 13:03:00,2,MIN,CHI,30,31,41.0,-6.5,19,2,2,227,30,1,1,0,33,123,24,2,2,284,38,2,1,8,27,127
2013,2013-09-15 16:05:00,2,DET,ARI,21,25,47.5,2.0,16,1,1,273,36,0,1,5,20,49,24,0,0,261,40,1,1,4,25,87
2013,2013-09-15 13:02:00,2,CLE,BAL,6,14,43.5,-7.0,13,0,0,194,37,0,5,39,20,65,19,1,1,197,33,0,2,14,36,99
2013,2013-09-15 16:25:00,2,JAX,OAK,9,19,40.5,-5.0,15,1,0,214,38,0,5,27,19,34,16,3,1,114,24,0,3,12,34,226
2013,2013-09-15 13:02:00,2,WAS,GNB,20,38,48.5,-8.0,18,0,0,314,40,1,1,6,17,108,28,1,1,441,42,0,4,39,24,139
2013,2013-09-16 20:41:00,2,PIT,CIN,10,20,40.0,-6.5,14,1,1,234,37,1,2,17,16,44,22,0,0,280,45,0,0,0,34,127
2013,2013-09-19 20:29:00,3,KAN,PHI,26,16,50.0,-3.5,19,0,0,248,35,0,5,25,38,146,21,4,3,167,30,2,6,34,27,264
2013,2013-09-22 13:05:00,3,CLE,MIN,31,27,40.0,-7.0,23,1,1,306,55,3,3,26,17,103,21,3,2,195,42,1,6,33,31,134
2013,2013-09-22 13:03:00,3,GNB,CIN,30,34,49.5,3.0,27,2,2,217,43,2,4,27,30,182,19,5,3,215,28,1,4,20,24,82
