Season,Start,Week,Away,Home,APts,HPts,OverUnder,VegasLine,AFD,AFum,AFumL,APY,APA,API,HPS,HPSY,ARA,ARY,HFD,HFum,HFumL,HPY,HPA,HPI,HPS,HPSY,HRA,HRY
2014,2014-09-04 20:42:00,1,GNB,SEA,16,36,45.0,-8.5,19,1,0,175,33,1,3,14,21,80,25,2,1,191,28,0,1,0,37,207
2014,2014-09-07 13:00:00,1,BUF,CHI,23,20,47.0,-7.0,15,1,0,167,22,1,1,6,33,193,29,1,1,341,49,2,2,8,18,86
2014,2014-09-07 13:02:00,1,CIN,BAL,23,16,43.0,-2.0,16,0,0,301,38,0,0,0,26,79,26,2,1,329,62,1,3,16,20,94
2014,2014-09-07 16:25:00,1,CAR,TAM,20,14,39.5,-2.5,19,1,0,221,34,0,1,9,33,113,17,3,1,162,35,2,3,21,17,102
2014,2014-09-07 13:00:00,1,MIN,STL,34,6,43.5,-3.5,18,2,0,170,25,0,0,0,32,185,15,4,0,246,36,2,5,27,22,72
2014,2014-09-07 16:25:00,1,SFO,DAL,28,17,51.0,4.5,19,0,0,192,23,0,1,9,30,127,26,3,1,255,37,3,3,26,23,127
2014,2014-09-07 13:02:00,1,TEN,KAN,26,10,43.0,-3.5,24,1,0,243,33,0,4,23,38,162,15,0,0,178,35,3,4,24,17,67
2014,2014-09-07 20:30:00,1,IND,DEN,24,31,55.0,-7.5,24,1,0,354,53,2,3,16,14,54,24,2,0,259,36,0,1,10,32,102
2014,2014-09-07 13:02:00,1,JAX,PHI,17,34,52.0,-10.5,18,1,1,242,43,0,3,24,24,64,24,3,2,275,45,1,5,47,32,145
2014,2014-09-07 13:03:00,1,NWE,MIA,20,33,47.0,5.0,20,3,2,226,56,0,4,23,20,89,25,3,2,169,32,1,1,9,38,191
2014,2014-09-07 13:02:00,1,OAK,NYJ,14,19,40.0,-5.5,11,1,0,133,32,0,2,18,15,25,20,2,1,190,29,1,2,31,34,212
2014,2014-09-07 13:03:00,1,WAS,HOU,6,17,45.0,-3.0,20,3,2,241,37,0,3,26,23,131,16,2,1,206,22,0,0,0,34,115
2014,2014-09-07 13:02:00,1,CLE,PIT,27,30,41.5,-7.0,23,0,0,198,30,0,3,24,31,191,24,1,0,376,35,1,3,14,29,127
2014,2014-09-07 13:03:00,1,NOR,ATL,34,37,51.5,3.0,30,1,1,333,42,1,0,0,28,139,28,1,1,445,43,0,1,3,25,123
2014,2014-09-08 19:11:00,1,NYG,DET,14,35,47.0,-5.5,16,0,0,144,33,2,2,19,22,53,20,1,0,341,32,0,1,5,30,76
2014,2014-09-08 21:20:00,1,SDG,ARI,17,18,45.0,-3.0,15,1,0,238,36,1,0,0,24,52,22,2,2,294,37,0,2,10,26,109
2014,2014-09-11 20:28:00,2,PIT,BAL,6,26,44.0,-2.5,17,2,2,202,37,1,2,15,18,99,25,0,0,166,29,0,0,0,36,157
2014,2014-09-14 13:05:00,2,JAX,WAS,10,41,42.5,-6.0,8,0,0,123,28,1,10,70,10,25,32,0,0,258,36,0,3,30,42,191
2014,2014-09-14 13:05:00,2,NWE,MIN,30,7,48.5,5.5,16,1,0,142,21,0,1,7,37,150,17,1,0,163,36,4,6,39,19,54
2014,2014-09-14 16:05:00,2,STL,TAM,19,17,38.0,-5.5,20,2,1,220,29,0,2,15,29,119,18,1,0,175,21,1,1,4,30,157
2014,2014-09-14 13:04:00,2,ARI,NYG,25,14,42.5,2.0,21,0,0,142,29,0,4,25,28,124,24,2,2,260,39,2,2,17,27,81
2014,2014-09-14 13:03:00,2,DAL,TEN,26,10,49.5,-3.5,26,1,1,148,29,0,4,28,43,220,13,1,0,232,34,2,2,2,13,82
2014,2014-09-14 13:02:00,2,MIA,BUF,10,29,42.5,-1.5,23,1,1,210,49,1,4,31,21,80,13,0,0,202,26,0,0,0,33,113
2014,2014-09-14 13:03:00,2,NOR,CLE,24,26,48.5,6.0,26,1,1,223,40,1,2,14,27,174,23,0,0,202,41,0,1,2,30,122
2014,2014-09-14 16:25:00,2,HOU,OAK,30,14,40.0,3.0,20,1,0,139,19,0,0,0,46,188,22,4,2,263,42,2,0,0,17,101
2014,2014-09-14 16:25:00,2,NYJ,GNB,24,31,46.0,-7.5,19,1,0,166,32,1,2,10,37,147,25,3,1,310,42,0,4,36,22,80
2014,2014-09-14 16:05:00,2,SEA,SDG,21,30,44.0,5.5,14,2,1,180,25,0,2,22,13,108,26,4,0,276,37,0,1,8,37,101
2014,2014-09-14 13:05:00,2,ATL,CIN,10,24,49.0,-6.0,19,0,0,212,44,3,2,19,19,97,21,0,0,302,24,0,0,0,45,170
2014,2014-09-14 16:25:00,2,KAN,DEN,17,24,50.5,-11.5,28,1,0,247,42,0,2,8,31,133,19,0,0,237,26,0,1,5,19,88
2014,2014-09-14 20:31:00,2,CHI,SFO,28,20,47.5,-7.0,19,1,0,170,34,0,1,6,17,46,19,2,1,232,34,3,4,16,27,127
2014,2014-09-14 13:04:00,2,DET,CAR,7,24,44.0,-2.5,21,3,2,253,48,1,4,38,18,70,20,0,0,251,34,0,4,30,24,62
2014,2014-09-15 20:31:00,2,PHI,IND,30,27,54.0,-3.0,24,0,0,331,37,1,0,0,27,127,25,2,1,172,34,1,0,0,38,169
2014,2014-09-18 20:26:00,3,TAM,ATL,14,56,46.0,-6.0,10,5,4,153,36,1,3,26,18,64,26,4,3,344,28,1,1,6,36,144
2014,2014-09-21 13:02:00,3,OAK,NWE,9,16,46.5,-14.0,14,0,0,174,34,1,0,0,22,67,21,1,0,221,37,0,2,13,32,76
2014,2014-09-21 13:02:00,3,GNB,DET,7,19,52.5,-2.5,14,1,1,147,27,0,2,15,22,76,21,1,1,238,34,2,2,8,38,115
2014,2014-09-21 13:02:00,3,WAS,PHI,34,37,50.5,-6.0,27,1,0,427,48,1,0,0,28,84,22,2,1,325,41,0,0,0,25,54
2014,2014-09-21 16:25:00,3,KAN,MIA,34,15,42.5,-3.5,23,4,2,168,25,0,5,18,41,174,18,1,0,191,43,0,4,14,20,141
2014,2014-09-21 13:00:00,3,DAL,STL,34,31,44.0,1.5,19,1,1,217,23,1,0,0,29,123,26,1,1,327,42,2,0,0,30,121
2014,2014-09-21 20:31:00,3,PIT,CAR,37,19,42.0,-3.0,24,0,0,190,30,0,1,6,34,264,20,3,2,307,41,0,3,23,10,42
2014,2014-09-21 13:02:00,3,SDG,BUF,22,10,45.5,-2.5,20,0,0,250,25,0,2,6,36,83,18,1,0,205,40,0,3,33,22,87
2014,2014-09-21 13:02:00,3,HOU,NYG,17,30,41.5,-1.5,20,1,0,292,35,3,2,7,25,119,26,2,1,226,28,0,1,8,42,193
2014,2014-09-21 16:25:00,3,DEN,SEA,20,26,48.5,-4.5,20,1,1,296,49,1,1,7,20,36,26,1,0,255,35,1,3,20,37,129
2014,2014-09-21 13:03:00,3,MIN,NOR,9,20,49.0,-10.0,13,0,0,188,30,0,2,15,22,59,27,1,0,288,35,0,1,5,32,108
2014,2014-09-21 16:05:00,3,SFO,ARI,14,23,42.0,3.0,20,0,0,236,37,0,1,9,23,82,24,1,1,254,34,0,0,0,27,84
2014,2014-09-21 13:02:00,3,TEN,CIN,7,33,42.5,-6.5,22,2,0,177,34,2,2,8,28,149,25,0,0,184,26,1,0,0,31,116
2014,2014-09-21 13:02:00,3,BAL,CLE,23,21,41.5,2.0,23,0,0,217,31,1,0,0,33,160,19,1,0,290,25,0,0,0,30,85
