Season,Start,Week,Away,Home,APts,HPts,OverUnder,VegasLine,AFD,AFum,AFumL,APY,APA,API,HPS,HPSY,ARA,ARY,HFD,HFum,HFumL,HPY,HPA,HPI,HPS,HPSY,HRA,HRY
2015,2015-09-10 20:40:00,1,PIT,NWE,21,28,52.0,-7.0,23,0,0,330,38,1,3,21,25,134,26,1,0,281,32,0,2,7,24,80
2015,2015-09-13 13:04:00,1,CLE,NYJ,10,31,39.5,-3.5,15,4,4,217,32,1,3,14,28,104,18,1,0,179,24,1,0,0,36,154
2015,2015-09-13 13:00:00,1,SEA,STL,31,34,40.5,4.0,21,0,0,219,41,1,6,32,32,124,19,3,3,276,27,0,2,21,26,76
2015,2015-09-13 16:05:00,1,DET,SDG,28,33,45.5,-2.5,16,1,0,233,30,2,1,13,16,69,28,2,1,387,41,2,2,16,31,96
2015,2015-09-13 13:02:00,1,KAN,HOU,27,20,41.0,-1.0,19,1,0,233,33,0,2,10,32,97,24,2,1,298,47,1,5,36,21,98
2015,2015-09-13 13:03:00,1,CAR,JAX,20,9,40.5,3.0,17,0,0,158,31,1,2,17,35,105,18,1,1,169,40,2,5,14,21,96
2015,2015-09-13 13:02:00,1,MIA,WAS,17,10,43.5,3.0,19,2,1,182,34,0,3,44,18,74,20,1,0,188,31,2,1,8,37,161
2015,2015-09-13 16:25:00,1,TEN,TAM,42,14,41.0,-3.0,20,2,1,185,15,0,2,24,32,124,16,2,0,181,33,2,4,29,26,92
2015,2015-09-13 13:00:00,1,GNB,CHI,31,23,49.0,6.5,21,0,0,189,23,0,0,0,30,133,25,0,0,213,36,1,2,12,33,189
2015,2015-09-13 16:05:00,1,NOR,ARI,19,31,48.5,-2.0,18,0,0,354,48,1,2,1,20,54,25,1,1,307,32,0,0,0,25,120
2015,2015-09-13 20:31:00,1,NYG,DAL,26,27,51.5,-6.0,18,0,0,190,36,0,1,3,24,99,27,3,1,356,45,2,0,0,23,80
2015,2015-09-13 13:03:00,1,IND,BUF,14,27,45.0,2.5,23,2,1,240,49,2,2,3,17,64,15,2,0,195,19,0,0,0,36,147
2015,2015-09-13 16:25:00,1,BAL,DEN,13,19,48.0,-4.5,11,0,0,100,32,2,2,17,23,73,16,0,0,150,40,1,4,25,25,69
2015,2015-09-13 16:25:00,1,CIN,OAK,33,13,43.0,3.0,22,0,0,269,34,0,0,0,31,127,16,2,1,183,43,1,2,20,16,63
2015,2015-09-14 19:10:00,1,PHI,ATL,24,26,54.5,2.5,23,0,0,336,52,2,0,0,16,63,21,0,0,290,34,2,1,8,35,105
2015,2015-09-14 22:20:00,1,MIN,SFO,3,20,41.5,1.5,17,0,0,177,32,1,5,54,17,71,25,1,1,165,26,0,1,0,39,230
2015,2015-09-17 20:29:00,2,DEN,KAN,31,24,42.0,-3.0,21,0,0,238,45,1,3,18,22,61,20,3,3,167,25,2,5,24,28,147
2015,2015-09-20 13:03:00,2,STL,WAS,10,24,41.0,3.0,11,2,0,146,32,0,1,4,13,67,19,1,1,191,27,0,2,12,37,182
2015,2015-09-20 13:00:00,2,ARI,CHI,48,23,46.0,2.0,21,1,1,185,24,1,0,0,28,115,18,3,0,226,32,2,2,15,28,109
2015,2015-09-20 13:02:00,2,TAM,NOR,26,19,47.5,-10.0,18,2,2,194,21,0,3,13,35,139,21,5,2,219,38,1,4,36,27,104
2015,2015-09-20 13:03:00,2,SDG,CIN,19,24,47.0,-3.0,19,2,2,223,27,1,4,18,25,131,20,2,2,214,26,0,0,0,36,175
2015,2015-09-20 16:05:00,2,BAL,OAK,33,37,43.0,6.0,29,1,1,384,45,1,0,0,25,109,27,0,0,351,46,1,1,0,19,97
2015,2015-09-20 16:25:00,2,DAL,PHI,20,10,55.0,-5.0,21,2,2,250,34,0,3,18,33,109,17,1,1,219,37,2,1,5,17,7
2015,2015-09-20 20:25:00,2,SEA,GNB,17,27,49.0,-3.0,21,1,1,205,30,1,2,1,25,119,21,2,1,234,33,0,2,15,29,127
2015,2015-09-20 13:02:00,2,HOU,CAR,17,24,39.5,-3.0,21,1,0,239,58,1,1,5,23,61,25,0,0,178,37,1,2,17,33,172
2015,2015-09-20 13:02:00,2,ATL,NYG,24,20,51.0,-2.5,25,0,0,346,46,0,2,17,22,56,19,2,1,291,40,0,2,1,23,97
2015,2015-09-20 13:03:00,2,DET,MIN,16,26,43.5,-2.0,25,2,2,285,53,1,1,1,16,38,20,2,1,151,18,0,1,2,42,199
2015,2015-09-20 16:05:00,2,MIA,JAX,20,23,41.5,6.0,17,1,0,344,44,0,2,15,16,42,19,0,0,273,33,0,0,0,33,123
