Season,Start,Week,Away,Home,APts,HPts,OverUnder,VegasLine,AFD,AFum,AFumL,APY,APA,API,HPS,HPSY,ARA,ARY,HFD,HFum,HFumL,HPY,HPA,HPI,HPS,HPSY,HRA,HRY
2016,2016-09-25 13:02:00,3,DEN,CIN,29,17,42.0,-3.5,21,1,1,303,35,0,2,9,23,52,20,1,1,189,31,1,4,17,29,143
2016,2016-09-25 16:25:00,3,SDG,IND,22,26,51.5,-1.5,17,4,3,315,39,0,2,11,17,37,24,2,1,317,37,1,2,14,26,93
2016,2016-09-25 20:31:00,3,CHI,DAL,17,31,44.5,-6.5,21,4,2,312,49,0,1,5,14,78,25,1,1,248,24,0,0,0,41,199
2016,2016-09-25 16:26:00,3,NYJ,KAN,3,24,44.5,-3.0,17,3,2,188,44,6,0,0,22,117,18,1,1,221,33,0,2,16,27,72
2016,2016-09-25 13:02:00,3,BAL,JAX,19,17,45.0,2.5,18,2,1,199,40,2,2,15,22,84,14,0,0,168,38,3,4,26,21,48
2016,2016-09-25 13:02:00,3,DET,GNB,27,34,47.5,-6.0,22,0,0,368,41,1,3,17,23,50,17,0,0,201,24,0,2,4,24,123
2016,2016-09-25 16:25:00,3,PIT,PHI,3,34,46.5,3.5,15,2,1,222,44,1,4,35,10,29,25,1,0,301,31,0,0,0,30,125
2016,2016-09-25 13:02:00,3,MIN,CAR,22,10,43.0,-6.0,13,1,0,153,28,0,2,18,24,58,18,0,0,201,36,3,8,64,28,105
2016,2016-09-26 20:30:00,3,ATL,NOR,45,32,54.0,-2.5,26,0,0,225,30,0,2,15,31,217,32,1,1,359,54,1,2,17,23,115
2016,2016-09-29 20:26:00,4,MIA,CIN,7,22,46.0,-7.5,8,1,1,160,25,1,5,29,13,62,19,2,0,285,31,0,1,11,37,77
2016,2016-10-02 13:02:00,4,TEN,HOU,20,27,40.0,-4.0,16,1,0,196,29,1,1,6,32,124,21,0,0,244,37,2,1,10,24,115
2016,2016-10-02 13:02:00,4,BUF,NWE,16,0,41.0,-3.5,24,0,0,244,39,0,2,2,32,134,13,5,1,187,27,0,3,18,22,90
2016,2016-10-02 13:03:00,4,SEA,NYJ,27,17,40.0,1.0,21,0,0,288,32,0,2,21,26,66,20,1,0,247,41,3,4,14,20,58
2016,2016-10-02 09:35:00,4,IND,JAX,27,30,48.0,1.0,23,1,0,190,42,1,6,44,25,94,23,1,0,195,33,0,3,12,29,136
2016,2016-10-02 13:00:00,4,DET,CHI,14,17,48.0,3.0,16,0,0,197,36,2,2,16,18,66,23,0,0,294,36,0,2,8,29,114
2016,2016-10-02 13:04:00,4,CAR,ATL,33,48,48.5,2.5,20,0,0,329,48,2,1,8,15,49,25,0,0,481,37,1,3,22,25,90
2016,2016-10-02 16:25:00,4,DAL,SFO,24,17,44.5,1.0,26,0,0,234,32,0,2,11,39,194,14,0,0,189,23,1,1,7,29,106
2016,2016-10-02 13:02:00,4,OAK,BAL,28,27,45.0,-3.5,13,1,1,199,35,0,0,0,19,62,25,3,1,282,52,0,2,16,26,130
2016,2016-10-02 16:25:00,4,LAR,ARI,17,13,43.5,-10.0,12,1,1,247,30,0,2,19,23,41,26,2,2,302,47,3,3,23,25,118
2016,2016-10-02 13:05:00,4,CLE,WAS,20,31,48.0,-7.5,26,3,2,217,40,1,1,6,28,163,24,1,0,156,27,1,3,27,26,145
2016,2016-10-02 16:05:00,4,DEN,TAM,27,7,43.0,3.5,22,0,0,218,31,0,4,20,32,89,15,2,1,143,35,2,5,36,26,72
2016,2016-10-02 20:30:00,4,KAN,PIT,14,43,48.0,-3.0,22,3,1,270,50,1,4,17,18,87,18,1,0,287,27,0,2,13,26,149
2016,2016-10-02 16:25:00,4,NOR,SDG,35,34,54.0,-3.5,21,0,0,192,36,2,2,15,34,83,21,4,2,308,43,1,3,13,21,38
2016,2016-10-03 20:35:00,4,NYG,MIN,10,24,42.5,-3.5,18,1,1,261,45,1,0,0,18,78,22,0,0,262,36,0,0,0,33,104
2016,2016-10-06 20:27:00,5,ARI,SFO,33,21,42.5,3.5,17,2,0,116,28,0,1,8,37,172,25,2,1,135,31,2,7,27,36,151
2016,2016-10-09 16:25:00,5,SDG,OAK,31,34,50.5,-3.5,17,5,2,351,30,2,2,8,19,72,19,0,0,300,40,1,3,17,25,89
2016,2016-10-09 16:05:00,5,ATL,DEN,23,16,44.5,-3.5,19,1,1,250,28,0,2,17,32,122,18,3,0,183,35,1,6,40,24,84
2016,2016-10-09 13:02:00,5,CHI,IND,23,29,47.5,-4.0,25,3,1,397,43,0,0,0,19,125,20,2,0,298,39,0,5,24,21,98
2016,2016-10-09 13:02:00,5,NYJ,PIT,13,31,50.0,-10.0,16,1,0,244,38,0,3,11,17,72,30,2,1,375,47,0,1,5,24,61
2016,2016-10-09 13:02:00,5,NWE,CLE,33,13,47.5,10.0,24,0,0,403,41,0,1,3,35,98,17,2,0,235,35,1,2,14,22,27
2016,2016-10-09 16:25:00,5,CIN,DAL,14,28,46.0,2.5,27,0,0,249,41,0,4,20,19,96,21,3,1,222,24,0,1,5,29,180
2016,2016-10-09 13:03:00,5,WAS,BAL,16,10,44.5,-4.0,18,2,1,250,41,1,1,10,20,60,18,1,1,188,47,0,3,22,19,118
2016,2016-10-09 20:30:00,5,NYG,GNB,16,23,49.0,-7.0,14,1,1,178,35,0,4,21,15,43,23,1,0,259,45,2,0,0,32,147
2016,2016-10-09 13:02:00,5,TEN,MIA,30,17,44.5,-2.5,23,1,0,163,29,0,0,0,41,235,8,0,0,149,18,2,6,42,17,51
2016,2016-10-09 16:25:00,5,BUF,LAR,30,19,41.5,2.5,15,1,0,112,23,0,2,12,27,193,23,2,1,243,31,2,4,28,29,102
2016,2016-10-09 13:05:00,5,HOU,MIN,13,31,39.0,-6.0,16,1,0,155,42,1,4,29,14,59,22,0,0,255,30,0,2,16,37,96
2016,2016-10-09 13:02:00,5,PHI,DET,23,24,46.0,3.5,18,2,1,230,33,1,3,8,21,116,21,1,1,164,25,0,4,16,27,80
2016,2016-10-10 20:04:00,5,TAM,CAR,17,14,46.5,-6.0,20,1,0,202,30,0,2,17,37,113,20,2,2,278,28,2,0,0,25,136
2016,2016-10-13 20:25:00,6,DEN,SDG,13,21,44.0,3.0,16,2,2,220,50,0,2,10,16,84,16,2,2,166,29,0,2,12,29,99
2016,2016-10-16 13:02:00,6,CLE,TEN,26,28,44.5,-7.5,16,0,0,301,42,0,6,36,15,40,19,0,0,270,24,1,2,14,31,137
2016,2016-10-16 13:03:00,6,PHI,WAS,20,27,45.0,3.0,12,0,0,145,22,0,5,34,21,94,26,0,0,263,34,1,0,0,33,230
2016,2016-10-16 16:05:00,6,KAN,OAK,26,10,46.5,1.0,22,0,0,223,23,0,1,1,40,183,16,2,1,221,34,1,2,4,17,64
2016,2016-10-16 13:02:00,6,BAL,NYG,23,27,42.5,-3.5,22,0,0,293,48,0,2,14,26,98,19,1,1,397,46,2,1,6,17,38
2016,2016-10-16 13:02:00,6,PIT,MIA,15,30,49.5,7.5,15,0,0,169,35,2,2,20,16,128,24,0,0,252,32,0,0,0,36,222
2016,2016-10-16 13:02:00,6,SFO,BUF,16,45,44.0,-7.5,16,2,1,167,29,0,3,20,28,133,29,3,2,179,27,0,3,0,44,313
2016,2016-10-16 16:26:00,6,ATL,SEA,24,26,45.5,-7.0,22,1,1,310,42,1,4,25,18,52,22,3,0,261,37,0,1,9,27,72
2016,2016-10-16 13:02:00,6,JAX,CHI,17,16,46.0,-2.5,20,1,1,263,33,1,2,8,20,54,22,1,0,297,49,0,1,5,27,92
2016,2016-10-16 20:32:00,6,IND,HOU,23,26,47.5,-3.0,19,0,0,231,32,1,3,21,32,161,26,1,0,256,39,1,1,13,28,158
2016,2016-10-16 13:02:00,6,CIN,NWE,17,35,48.0,-7.5,20,0,0,237,31,0,2,17,32,120,25,0,0,358,35,0,3,18,23,79
2016,2016-10-16 13:03:00,6,CAR,NOR,38,41,53.5,2.5,32,1,1,303,47,1,2,19,27,103,23,0,0,460,49,1,1,5,21,63
2016,2016-10-16 16:25:00,6,DAL,GNB,30,16,47.0,-5.0,24,2,1,233,27,1,2,14,33,191,24,5,3,294,42,1,1,0,24,78
2016,2016-10-16 13:02:00,6,LAR,DET,28,31,44.0,-2.5,23,1,0,311,32,1,1,10,22,76,20,0,0,265,31,0,1,5,26,83
2016,2016-10-17 20:30:00,6,NYJ,ARI,3,28,45.5,-7.0,11,1,0,197,37,2,1,8,14,33,28,3,0,225,35,0,0,0,35,171
2016,2016-10-20 20:26:00,7,CHI,GNB,10,26,46.5,-7.5,13,0,0,120,26,2,1,10,18,69,32,2,1,303,56,0,2,23,23,103
2016,2016-10-23 13:02:00,7,BUF,MIA,25,28,46.0,2.5,16,0,0,200,28,0,4,21,22,67,26,0,0,198,25,0,1,6,42,256
2016,2016-10-23 13:02:00,7,IND,TEN,34,26,48.0,-4.0,26,0,0,341,39,0,2,12,24,81,26,2,1,207,37,0,3,25,28,124
2016,2016-10-23 13:03:00,7,NOR,KAN,21,27,51.5,-7.0,27,3,1,359,48,1,1,8,22,104,20,0,0,214,24,0,0,0,28,112
2016,2016-10-23 13:02:00,7,MIN,PHI,10,21,39.0,3.0,18,5,3,189,41,1,6,35,27,93,15,4,2,138,28,2,0,0,26,101
2016,2016-10-23 13:02:00,7,CLE,CIN,17,31,46.5,-11.0,22,0,0,172,35,2,2,10,26,180,23,2,1,288,28,0,3,20,30,271
2016,2016-10-23 16:05:00,7,SDG,ATL,33,30,52.5,-4.5,26,1,1,348,45,1,4,23,26,78,21,0,0,256,34,1,3,17,26,130
2016,2016-10-23 16:25:00,7,NWE,PIT,27,16,49.0,7.5,21,2,2,222,26,0,0,0,29,140,17,1,0,281,47,1,0,0,22,94
2016,2016-10-23 20:30:00,7,SEA,ARI,6,6,43.0,-2.5,11,2,0,205,37,0,1,20,19,52,23,1,0,311,49,0,4,31,37,132
2016,2016-10-23 16:05:00,7,TAM,SFO,34,17,45.0,-1.0,27,2,0,264,30,1,2,5,41,249,20,4,2,113,34,1,4,30,28,160
2016,2016-10-23 13:04:00,7,BAL,NYJ,16,24,40.0,-2.5,11,3,1,234,44,2,2,14,11,11,16,2,2,189,22,0,5,26,39,155
2016,2016-10-23 13:02:00,7,WAS,DET,17,20,50.0,1.0,26,4,2,283,39,0,2,18,29,130,19,1,0,250,29,0,3,16,19,94
2016,2016-10-23 13:02:00,7,OAK,JAX,33,16,47.5,-2.0,21,1,0,200,37,0,0,0,34,144,19,2,1,239,43,2,1,7,16,105
2016,2016-10-23 09:31:00,7,NYG,LAR,17,10,44.5,2.5,13,1,1,196,37,0,0,0,20,36,20,4,0,271,53,4,3,20,20,74
2016,2016-10-24 20:30:00,7,HOU,DEN,9,27,40.0,-8.5,14,4,2,131,41,0,1,0,25,140,19,1,0,157,25,0,0,0,35,190
2016,2016-10-27 20:26:00,8,JAX,TEN,22,36,43.5,-3.0,27,2,1,322,54,0,2,15,11,48,25,1,0,280,23,0,0,0,43,214
2016,2016-10-30 16:25:00,8,GNB,ATL,32,33,51.0,-3.0,24,1,0,223,38,0,3,23,19,108,25,0,0,277,35,0,2,11,19,90
2016,2016-10-30 13:02:00,8,NYJ,CLE,31,28,45.5,2.5,21,0,0,222,34,0,2,6,35,171,22,1,0,339,51,2,1,6,18,68
2016,2016-10-30 13:02:00,8,NWE,BUF,41,25,48.0,5.5,23,1,0,285,33,0,5,30,23,72,25,2,0,209,40,0,2,9,26,167
2016,2016-10-30 13:03:00,8,SEA,NOR,20,25,50.0,1.0,15,1,0,285,36,1,1,11,17,74,28,1,1,252,35,0,2,13,35,123
2016,2016-10-30 08:36:00,8,WAS,CIN,27,27,49.0,-3.0,30,0,0,446,56,1,1,12,31,100,35,2,1,263,42,1,3,21,36,152
2016,2016-10-30 13:02:00,8,OAK,TAM,30,24,48.0,-1.0,27,1,1,498,59,0,2,15,24,128,18,2,0,168,32,0,2,12,27,102
2016,2016-10-30 20:31:00,8,PHI,DAL,23,29,44.0,-5.0,21,4,1,194,44,0,3,8,24,97,26,2,0,273,40,1,2,14,34,187
2016,2016-10-30 13:02:00,8,KAN,IND,30,14,50.5,3.0,20,0,0,334,41,0,3,16,27,88,18,3,1,172,35,1,6,38,21,105
2016,2016-10-30 13:03:00,8,DET,HOU,13,20,46.5,-1.0,19,0,0,231,41,0,1,9,14,58,20,1,0,164,29,1,3,22,31,105
2016,2016-10-30 12:47:00,8,ARI,CAR,20,30,45.5,-2.5,22,2,1,316,46,1,8,47,10,24,19,1,1,208,27,0,1,4,36,141
2016,2016-10-30 16:05:00,8,SDG,DEN,19,27,43.0,-3.5,21,0,0,246,47,3,4,21,26,123,15,4,2,267,38,1,1,9,25,57
2016,2016-10-31 20:31:00,8,MIN,CHI,10,20,39.5,4.5,15,2,0,201,37,0,5,27,18,57,19,0,0,245,31,0,1,7,29,158
2016,2016-11-03 20:25:00,9,ATL,TAM,43,28,49.0,4.5,31,3,1,325,34,0,2,19,34,136,23,2,2,326,48,0,2,10,20,70
2016,2016-11-06 13:00:00,9,DET,MIN,22,16,42.5,-4.5,18,0,0,214,36,1,1,5,25,97,22,0,0,259,40,0,2,14,25,78
2016,2016-11-06 16:05:00,9,CAR,LAR,13,10,44.5,3.0,16,0,0,185,32,0,5,40,25,59,18,1,0,280,46,1,4,16,17,59
2016,2016-11-06 13:00:00,9,DAL,CLE,35,10,49.0,7.0,29,1,0,255,28,0,0,0,42,168,13,0,0,177,27,0,4,26,13,45
2016,2016-11-06 13:00:00,9,JAX,KAN,14,19,42.5,-7.0,25,3,3,244,41,1,2,8,32,205,10,0,0,169,33,0,2,18,22,62
2016,2016-11-06 13:00:00,9,NYJ,MIA,23,27,45.0,-3.5,18,3,0,191,29,2,3,22,21,140,20,3,0,137,29,0,1,12,32,137
2016,2016-11-06 20:30:00,9,DEN,OAK,20,30,44.5,-1.0,13,1,1,266,37,1,2,17,12,33,30,0,0,179,31,0,2,5,43,218
2016,2016-11-06 16:25:00,9,IND,GNB,31,26,52.0,-7.5,22,1,0,270,36,2,2,11,28,85,25,0,0,289,43,1,3,8,19,116
2016,2016-11-06 16:05:00,9,NOR,SFO,41,23,53.0,5.0,29,0,0,323,39,0,1,0,42,248,19,3,3,393,39,1,1,5,17,93
2016,2016-11-06 13:00:00,9,PIT,BAL,14,21,46.0,3.5,15,2,0,241,45,1,2,23,18,36,13,2,0,224,31,1,3,26,29,50
2016,2016-11-06 13:00:00,9,PHI,NYG,23,28,42.5,-3.0,21,1,0,347,47,2,2,17,25,96,16,1,0,248,36,2,1,9,24,54
2016,2016-11-06 16:25:00,9,TEN,SDG,35,43,47.5,-3.5,24,1,1,313,43,2,0,0,19,80,31,0,0,268,33,0,1,7,39,208
2016,2016-11-07 20:30:00,9,BUF,SEA,25,31,43.5,-5.5,30,0,0,263,39,1,5,26,38,162,19,0,0,245,26,0,4,37,12,33
2016,2016-11-10 20:25:00,10,CLE,BAL,7,28,44.0,-7.5,11,2,1,111,31,2,4,39,13,33,29,0,0,277,41,2,2,19,34,119
2016,2016-11-13 13:00:00,10,KAN,CAR,20,17,44.0,-3.0,18,2,0,165,38,1,3,13,20,91,22,1,1,242,38,1,2,19,29,99
2016,2016-11-13 16:05:00,10,MIA,SDG,31,24,48.5,-4.0,17,3,1,231,24,0,1,9,25,106,29,0,0,309,44,4,3,17,24,70
2016,2016-11-13 13:00:00,10,MIN,WAS,20,26,42.0,-2.5,22,0,0,284,40,1,3,23,21,47,23,1,1,260,33,0,1,2,28,128
2016,2016-11-13 13:00:00,10,LAR,NYJ,9,6,39.0,1.0,16,1,0,155,30,0,3,10,34,125,17,1,0,157,32,1,1,6,25,139
2016,2016-11-13 13:00:00,10,ATL,PHI,15,24,48.5,-2.0,11,0,0,255,33,1,2,12,13,48,25,2,1,221,36,0,2,10,38,208
2016,2016-11-13 13:00:00,10,GNB,TEN,25,47,48.5,3.0,21,1,1,333,55,2,5,46,13,69,19,0,0,292,27,0,1,13,31,154
2016,2016-11-13 13:00:00,10,HOU,JAX,24,21,42.0,-3.0,16,0,0,92,27,0,1,7,33,181,23,3,1,247,49,1,2,18,22,80
2016,2016-11-13 20:30:00,10,SEA,NWE,31,24,49.5,-7.5,23,1,0,324,37,0,3,24,26,96,25,3,1,304,32,1,2,12,28,81
2016,2016-11-13 16:25:00,10,DAL,PIT,35,30,50.5,-3.0,20,1,1,295,32,0,2,24,25,127,30,1,0,400,46,0,1,8,19,48
2016,2016-11-13 16:25:00,10,SFO,ARI,20,23,46.5,-13.5,15,1,1,198,30,0,3,12,28,83,26,2,2,363,49,2,2,13,23,80
2016,2016-11-13 13:00:00,10,CHI,TAM,10,36,45.0,2.5,15,3,2,161,30,2,4,21,20,122,22,0,0,280,33,1,4,32,31,80
2016,2016-11-13 13:00:00,10,DEN,NOR,25,23,50.0,-3.0,24,0,0,234,40,2,6,24,37,103,19,2,2,293,29,2,1,10,21,80
2016,2016-11-14 20:30:00,10,CIN,NYG,20,21,49.5,1.0,12,0,0,186,29,1,3,18,23,78,23,1,0,229,44,2,1,11,27,122
2016,2016-11-17 20:25:00,11,NOR,CAR,20,23,52.5,-3.5,28,2,1,264,44,1,3,21,25,107,17,1,0,173,33,0,2,19,27,50
2016,2016-11-20 13:00:00,11,TAM,KAN,19,17,45.0,-7.0,27,2,1,326,39,0,1,5,34,116,19,2,1,261,31,1,0,0,21,82
2016,2016-11-20 13:00:00,11,BAL,DAL,17,27,44.5,-7.0,17,1,0,267,35,0,1,2,16,101,27,1,0,299,36,0,1,2,30,118
2016,2016-11-20 13:00:00,11,PIT,CLE,24,9,45.5,8.0,24,1,0,167,36,0,0,0,28,146,17,1,1,176,41,1,8,70,13,33
2016,2016-11-20 13:00:00,11,ARI,MIN,24,30,39.5,-2.0,24,1,0,155,38,2,4,43,28,135,16,1,1,145,28,0,2,24,24,72
2016,2016-11-20 13:00:00,11,CHI,NYG,16,22,41.5,-7.0,17,2,0,222,30,1,4,30,25,93,19,2,0,227,36,0,0,0,29,102
2016,2016-11-20 16:25:00,11,PHI,SEA,15,26,42.5,-6.5,20,1,0,195,45,2,2,23,26,113,18,1,0,287,32,0,1,0,30,152
2016,2016-11-20 13:00:00,11,TEN,IND,17,24,53.5,-3.0,20,0,0,254,38,0,5,36,27,97,18,0,0,251,28,1,2,11,28,76
2016,2016-11-20 16:25:00,11,NWE,SFO,30,17,51.5,10.5,28,1,0,273,40,0,1,7,30,171,20,5,0,177,30,0,5,29,27,122
2016,2016-11-20 16:05:00,11,MIA,LAR,14,10,39.0,-1.0,17,0,0,142,34,1,4,30,19,98,12,1,1,125,31,0,1,9,28,102
2016,2016-11-20 13:00:00,11,JAX,DET,19,26,47.0,-5.5,16,2,1,202,35,2,0,0,27,83,14,3,2,263,33,0,3,15,21,14
2016,2016-11-20 13:00:00,11,BUF,CIN,16,12,48.0,-2.5,20,1,0,159,27,1,2,7,34,183,23,2,0,207,43,2,1,0,27,93
2016,2016-11-20 20:30:00,11,GNB,WAS,24,42,48.0,-3.0,19,3,1,340,44,1,2,20,19,84,21,0,0,364,30,0,2,11,30,151
2016,2016-11-21 20:30:00,11,HOU,OAK,20,27,45.5,-6.5,22,1,1,230,39,1,2,13,33,124,16,1,0,295,31,1,0,0,20,30
2016,2016-11-24 20:30:00,12,PIT,IND,28,7,50.0,8.0,16,0,0,221,21,0,0,0,29,148,18,1,0,219,37,2,3,21,23,91
2016,2016-11-24 12:30:00,12,MIN,DET,13,16,42.0,-1.5,17,0,0,224,37,1,0,0,16,82,18,0,0,214,40,0,2,18,19,94
2016,2016-11-24 16:30:00,12,WAS,DAL,26,31,53.0,-5.5,25,1,0,449,53,0,0,0,19,56,24,0,0,190,24,0,1,5,30,163
2016,2016-11-27 13:00:00,12,JAX,BUF,21,28,43.5,-8.5,20,2,0,118,26,0,2,8,37,183,15,0,0,151,18,0,5,15,29,153
2016,2016-11-27 13:00:00,12,SFO,MIA,24,31,44.5,-7.5,25,1,1,282,46,1,2,14,25,193,19,2,0,263,30,0,2,22,26,95
2016,2016-11-27 13:00:00,12,SDG,HOU,21,13,45.5,2.5,18,0,0,235,30,1,1,7,18,67,22,2,1,239,37,3,1,7,27,114
2016,2016-11-27 13:00:00,12,NYG,CLE,27,13,46.5,6.5,13,1,1,192,27,0,1,2,27,104,21,3,3,285,44,0,7,37,21,58
2016,2016-11-27 20:30:00,12,KAN,DEN,30,27,40.0,-3.5,23,0,0,190,44,0,6,30,26,83,21,3,1,340,34,0,5,28,38,124
2016,2016-11-27 13:00:00,12,CIN,BAL,14,19,41.5,-3.5,22,4,2,261,48,0,3,22,20,64,16,1,0,219,36,1,2,15,30,92
2016,2016-11-27 13:00:00,12,ARI,ATL,19,38,49.0,-4.0,23,1,0,274,45,1,2,15,14,58,28,0,0,244,34,1,3,25,30,116
2016,2016-11-27 16:25:00,12,CAR,OAK,32,35,48.5,-3.5,19,2,1,229,29,1,2,17,25,129,22,2,1,310,39,1,1,5,31,56
2016,2016-11-27 13:00:00,12,LAR,NOR,21,49,45.0,-8.0,13,1,1,178,32,1,3,36,17,69,27,2,1,346,37,0,2,14,32,209
2016,2016-11-27 13:00:00,12,TEN,CHI,27,21,41.5,6.5,18,1,0,226,23,0,0,0,29,149,25,2,0,316,54,2,0,0,22,95
2016,2016-11-27 16:25:00,12,NWE,NYJ,22,17,48.0,8.5,26,1,0,286,50,0,0,0,21,91,16,3,2,269,32,0,1,0,23,64
