Season,Start,Week,Away,Home,APts,HPts,OverUnder,VegasLine,AFD,AFum,AFumL,APY,APA,API,HPS,HPSY,ARA,ARY,HFD,HFum,HFumL,HPY,HPA,HPI,HPS,HPSY,HRA,HRY
2017,9/7/2017 20:30,1,KAN,NWE,42,27,47.5,-8,26,2,1,352,35,0,3,16,27,185,25,1,0,247,36,0,3,20,35,124
2017,9/10/2017 13:00,1,NYJ,BUF,12,21,42,-7,11,2,0,176,39,2,1,11,15,38,23,0,0,218,28,1,2,6,42,190
2017,9/10/2017 13:00,1,ARI,DET,23,35,48.5,2.5,24,2,1,263,48,3,1,5,18,45,19,1,0,285,41,1,1,7,27,82
2017,9/10/2017 13:00,1,JAX,HOU,29,7,38,-5.5,19,1,0,125,21,0,0,0,39,155,23,3,3,110,36,1,10,54,23,93
2017,9/10/2017 13:00,1,PIT,CLE,21,18,47,10,16,1,0,255,36,1,1,8,17,35,20,1,0,180,30,1,7,42,25,57
2017,9/10/2017 16:25,1,CAR,SFO,23,3,45.5,4.5,20,2,1,171,25,1,0,0,38,116,13,1,1,166,35,1,4,27,15,51
2017,9/10/2017 13:00,1,OAK,TEN,26,16,49.5,-2.5,22,3,0,250,32,0,2,12,29,109,21,0,0,255,41,0,1,1,21,95
2017,9/10/2017 13:00,1,ATL,CHI,23,17,48,6.5,18,0,0,308,30,0,2,13,23,64,20,2,0,176,40,0,4,37,19,125
2017,9/10/2017 13:00,1,BAL,CIN,20,0,41.5,-2.5,17,1,0,111,17,1,1,10,42,157,14,1,1,144,31,4,5,26,22,77
2017,9/10/2017 13:00,1,PHI,WAS,30,17,49.5,2,19,1,1,298,39,1,2,9,24,58,16,3,3,200,40,1,4,40,17,64
2017,9/10/2017 16:25,1,SEA,GNB,9,17,49.5,-2.5,12,1,1,135,27,0,3,23,18,90,26,1,0,286,42,1,4,25,28,84
2017,9/10/2017 20:30,1,NYG,DAL,3,19,46.5,-6,13,1,0,198,38,1,3,22,12,35,22,0,0,263,39,0,1,5,31,129
2017,9/10/2017 16:05,1,IND,LAR,9,46,41.5,-3.5,10,3,1,150,21,2,4,29,24,75,19,2,1,310,30,0,1,8,33,63
2017,9/11/2017 19:10,1,NOR,MIN,19,29,47.5,-3,19,0,0,284,37,0,1,7,21,60,23,1,0,341,32,0,1,5,30,129
2017,9/11/2017 22:20,1,LAC,DEN,21,24,41.5,-3,17,0,0,185,33,1,1,7,22,64,22,1,1,181,28,1,4,38,36,140
2017,9/14/2017 20:25,2,HOU,CIN,13,9,38,-5,14,0,0,98,24,0,3,27,35,168,12,1,1,213,35,0,3,11,24,82
2017,9/17/2017 13:00,2,TEN,JAX,37,16,42,1,21,0,0,211,27,1,1,4,36,179,20,2,1,211,34,2,2,12,25,99
2017,9/17/2017 13:00,2,MIN,PIT,9,26,43,-8.5,14,1,1,146,38,0,2,21,20,91,22,0,0,233,35,0,2,10,32,102
2017,9/17/2017 16:25,2,WAS,LAR,27,20,46.5,-3,21,3,0,156,27,0,2,23,39,229,14,3,1,235,25,1,2,12,22,97
2017,9/17/2017 20:30,2,GNB,ATL,23,34,55,-3,24,1,1,308,50,1,3,35,15,59,19,0,0,223,28,0,3,29,27,141
2017,9/17/2017 13:00,2,CLE,BAL,10,24,39.5,-7.5,20,2,1,293,42,4,3,7,21,93,24,1,1,201,34,1,2,16,32,136
2017,9/17/2017 16:05,2,NYJ,OAK,20,45,44,-14,17,2,2,145,24,0,4,21,25,126,21,1,0,230,28,0,0,0,27,180
2017,9/17/2017 16:25,2,SFO,SEA,9,12,42,-13.5,11,0,0,89,27,1,2,10,19,159,21,2,0,181,39,0,3,17,37,131
2017,9/17/2017 13:00,2,ARI,IND,16,13,44,7,17,1,0,306,36,1,4,26,25,83,18,3,0,190,37,1,4,26,29,76
2017,9/17/2017 13:00,2,BUF,CAR,3,9,43,-6.5,10,2,0,107,25,0,3,18,23,69,19,0,0,178,32,0,6,50,28,77
2017,9/17/2017 16:25,2,DAL,DEN,17,42,44,2.5,16,0,0,228,50,2,2,10,14,40,26,2,1,202,32,1,2,29,39,178
2017,9/17/2017 13:00,2,NWE,NOR,36,20,55,5.5,29,0,0,436,39,0,2,11,31,119,20,1,0,348,45,0,1,8,17,81
