Date,abbrev,abbrev,offense_score,defense_score,quarter,time,down,goal_distance,down_distance,yards_gained,game_id,play_type,no_play,runner,receiver,sacked_qb,passer,penalty,home_on_offense,fumbled,intercepted
10/15/2017,ARI,TAM,31,18,4,10:45:00,3,69,8,31,201710150crd,pass,0,,BrowJo02,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,31,18,4,10:24:00,1,38,10,2,201710150crd,run,1,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,31,18,4,10:00:00,1,48,20,11,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,31,18,4,8:54:00,2,32,4,2,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,31,18,4,8:34:00,2,40,12,0,201710150crd,pass,0,,FitzLa00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,31,18,4,8:29:00,3,40,12,8,201710150crd,pass,1,,ElliAn00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,31,18,4,8:14:00,3,55,27,14,201710150crd,pass,0,,GresJe00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,37,18,4,7:22:00,1,1,1,1,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,38,24,4,3:02:00,1,43,10,4,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,38,24,4,2:55:00,2,39,6,0,201710150crd,run,0,PeteAd01,,,,,1,1,0
10/15/2017,ARI,TAM,38,24,4,2:44:00,3,35,2,0,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,38,24,4,2:38:00,4,35,2,0,201710150crd,pass,0,,BrowJo02,,PalmCa00,,1,0,0
12/17/2017,ARI,WAS,0,0,1,15:00:00,1,75,10,3,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,0,0,1,14:24:00,2,72,7,0,201712170was,pass,0,,SealRi00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,0,0,1,14:21:00,3,72,7,-10,201712170was,sack,0,,,GabbBl00,,,0,0,0
12/17/2017,ARI,WAS,0,7,1,13:25:00,1,83,10,0,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,0,7,1,13:20:00,2,83,10,12,201712170was,run,0,WillKe05,,,,,0,0,0
