"","player","year","proj_air","proj_yac","proj_rush","proj_total"
"386","None-00-0026300",2017,NA,NA,NA,NA
"387","None-00-0026300",2018,NA,NA,NA,NA
"388","C.Keenum-00-0028986",2016,0.194284771628241,0.0705081989810365,0.0571608172912581,0.321953787900535
"389","C.Keenum-00-0028986",2017,0.627461551294144,0.492218676564417,0.0206837166586613,1.14036394451722
"390","C.Keenum-00-0028986",2018,1.45344386003338,1.88279327190329,0.386194016057513,3.72243114799418
"391","Dom.Davis-00-0028863",2016,0,0,0,0
"392","Dom.Davis-00-0028863",2017,NA,NA,NA,NA
"393","Dom.Davis-00-0028863",2018,NA,NA,NA,NA
"394","E.Manuel-00-0030526",2016,0.164566483094877,-0.0242485600378363,0.284573656712469,0.42489157976951
"395","E.Manuel-00-0030526",2017,0.0414528816328102,-0.0287136139202235,0.118835329614451,0.131574597327038
"396","E.Manuel-00-0030526",2018,0.00895837882770187,-0.0100937759818504,0.0316977833743901,0.0305623862202416
"397","G.Smith-00-0030565",2016,0.358663609953666,0.0578101974700512,0.508434252670043,0.92490806009376
"398","G.Smith-00-0030565",2017,0.0615993428713102,0.00328159400072821,0.140202598568594,0.205083535440633
"399","G.Smith-00-0030565",2018,0,0,0,0
"400","J.Tuel-00-0030024",2016,0.013098020576439,-0.00760288461136682,0.00169120660075418,0.00718634256582636
"401","J.Tuel-00-0030024",2017,NA,NA,NA,NA
"402","J.Tuel-00-0030024",2018,NA,NA,NA,NA
"403","M.Barkley-00-0030533",2016,0,0,0,0
"404","M.Barkley-00-0030533",2017,0.386338611617495,0.136409294898283,-0.116240095713542,0.406507810802236
"405","M.Barkley-00-0030533",2018,0.231803166970497,0.08184557693897,-0.0697440574281253,0.243904686481342
"406","M.Glennon-00-0030520",2016,0.402494836972292,0.119471013881396,0.0225888045712514,0.544554655424939
"407","M.Glennon-00-0030520",2017,0.0449513453878213,0.00148566920134427,0.0288026453187502,0.0752396599079158
"408","M.Glennon-00-0030520",2018,0.348182987994151,0.137269780857633,-0.111423270942898,0.374029497908885
"409","M.McGloin-00-0030419",2016,0.087827592583692,0.000363205534894574,-0.00527385370168458,0.082916944416902
"410","M.McGloin-00-0030419",2017,0,0,0,0
"411","M.McGloin-00-0030419",2018,0,0,0,0
"412","M.Simms-00-0029151",2016,0,0,0,0
"413","M.Simms-00-0029151",2017,0,0,0,0
"414","M.Simms-00-0029151",2018,NA,NA,NA,NA
"415","Mat.Moore-00-0025708",2016,0,0,0,0
"416","Mat.Moore-00-0025708",2017,NA,NA,NA,NA
"417","Mat.Moore-00-0025708",2018,NA,NA,NA,NA
"418","S.Tolzien-00-0028595",2016,0.0288659210321691,0.0101385834925638,0.0044916504041909,0.0434961549289238
"419","S.Tolzien-00-0028595",2017,0,0,0,0
"420","S.Tolzien-00-0028595",2018,0,0,0,0
"421","R.Turbin-00-0024279",2016,0,0,0,0
"422","R.Turbin-00-0024279",2017,NA,NA,NA,NA
"423","R.Turbin-00-0024279",2018,NA,NA,NA,NA
"424","A.Davis-00-0028957",2016,0.15357132109,0.0270405850407323,-0.070447738473477,0.110164167657256
"425","A.Davis-00-0028957",2017,0.0509874421550739,0.0131767602714288,-0.0245240973497522,0.0396401050767505
"426","A.Davis-00-0028957",2018,-0.000152248656194634,0.00312242394338852,-0.000781138393944928,0.00218903689324896
"427","B.Bortles-00-0031407",2016,0.28301919007099,-0.104282169560113,0.996801655030916,1.17553867554179
"428","B.Bortles-00-0031407",2017,0.944793290866777,0.771178893628827,1.17105873355336,2.88703091804896
"429","B.Bortles-00-0031407",2018,1.55663719762819,1.64049023735188,1.31123505594623,4.50836249092631
"430","C.Shaw-00-0030661",2016,0,0,0,0
"431","C.Shaw-00-0030661",2017,0,0,0,0
"432","C.Shaw-00-0030661",2018,NA,NA,NA,NA
"433","D.Carr-00-0031280",2016,0.39951810091061,-0.234284795967178,0.178908344542986,0.344141649486418
"434","D.Carr-00-0031280",2017,1.37944775963031,0.73222635767722,0.127577792439188,2.23925190974672
"435","D.Carr-00-0031280",2018,2.03953783473341,1.4689592877755,0.0227977729827105,3.53129489549162
"436","J.Garoppolo-00-0031345",2016,0,0,0,0
"437","J.Garoppolo-00-0031345",2017,0.175511071281836,0.146133849079032,0.0124131797725442,0.334058100133413
"438","J.Garoppolo-00-0031345",2018,0.81530980380294,0.547532774763457,0.101951217380145,1.46479379594654
"439","J.Manziel-00-0031409",2016,0.0260426682379557,0.128499229693346,0.37159044249912,0.526132340430422
"440","J.Manziel-00-0031409",2017,0.0156256009427734,0.0770995378160077,0.222954265499472,0.315679404258253
"441","J.Manziel-00-0031409",2018,0.00520853364759115,0.0256998459386692,0.074318088499824,0.105226468086084
"442","L.Thomas-00-0031260",2016,0,0,0,0
"443","L.Thomas-00-0031260",2017,0,0,0,0
"444","L.Thomas-00-0031260",2018,NA,NA,NA,NA
"445","R.Nassib-00-0030586",2016,0,0,0,0
"446","R.Nassib-00-0030586",2017,0,0,0,0
"447","R.Nassib-00-0030586",2018,0,0,0,0
"448","T.Bridgewater-00-0031237",2016,0.0193476885832089,0.297695291022259,1.04670242456753,1.363745404173
"449","T.Bridgewater-00-0031237",2017,-0.03153083837942,0.175648902848296,0.501374965800782,0.645493030269658
"450","T.Bridgewater-00-0031237",2018,-0.0284850509303672,0.057312854380657,0.114355618208703,0.143183421658993
"451","T.Savage-00-0031064",2016,0,0,0,0
"452","T.Savage-00-0031064",2017,0.168918906665397,0.105401700017074,0.00487576873359451,0.279196375416065
