"","player","year","proj_air","proj_yac","proj_rush","proj_total"
"78","C.Simpson-00-0025997",2018,NA,NA,NA,NA
"79","C.Smith-00-0026113",2016,NA,NA,NA,NA
"80","C.Smith-00-0026113",2017,NA,NA,NA,NA
"81","C.Smith-00-0026113",2018,NA,NA,NA,NA
"82","C.Taylor-00-0021314",2016,NA,NA,NA,NA
"83","C.Taylor-00-0021314",2017,NA,NA,NA,NA
"84","C.Taylor-00-0021314",2018,NA,NA,NA,NA
"85","C.Wells-00-0027007",2016,NA,NA,NA,NA
"86","C.Wells-00-0027007",2017,NA,NA,NA,NA
"87","C.Wells-00-0027007",2018,NA,NA,NA,NA
"88","C.Williams-00-0023440",2016,NA,NA,NA,NA
"89","C.Williams-00-0023440",2017,NA,NA,NA,NA
"90","C.Williams-00-0023440",2018,NA,NA,NA,NA
"91","D.Brown-00-0027003",2016,-0.0190952576512872,0.0195863542371085,0.0674262889147877,0.067917385500609
"92","D.Brown-00-0027003",2017,-0.00744753796999266,0.0066713710724685,0.0361661766105376,0.0353900097130134
"93","D.Brown-00-0027003",2018,0.000128167511360731,0.00159594551798583,0.0114170721869666,0.0131411852163131
"94","D.McFadden-00-0026144",2016,-0.0215868418936223,-0.0131008922325601,0.356946719520884,0.322258985394702
"95","D.McFadden-00-0026144",2017,-0.00688714174732339,-0.00343295711835496,0.221620159385073,0.211300060519395
"96","D.McFadden-00-0026144",2018,0.000648811440555302,0.00202440670808784,0.0749455690190193,0.0776187871676624
"97","D.Savage-00-0026453",2016,NA,NA,NA,NA
"98","D.Savage-00-0026453",2017,NA,NA,NA,NA
"99","D.Savage-00-0026453",2018,NA,NA,NA,NA
"100","D.Sproles-00-0023564",2016,0.0689987822484567,0.040987298532319,0.120733172719831,0.230719253500607
"101","D.Sproles-00-0023564",2017,0.245997112997522,0.0966919746882706,0.113876063699456,0.456565151385248
"102","D.Sproles-00-0023564",2018,0.145417009061023,0.042687457829492,0.0485007132572042,0.236605180147719
"103","D.Ward-00-0022770",2016,NA,NA,NA,NA
"104","D.Ward-00-0022770",2017,NA,NA,NA,NA
"105","D.Ward-00-0022770",2018,NA,NA,NA,NA
"106","D.Ware-00-0024559",2016,NA,NA,NA,NA
"107","D.Ware-00-0024559",2017,NA,NA,NA,NA
"108","D.Ware-00-0024559",2018,NA,NA,NA,NA
"109","D.Williams-00-0024242",2016,0,0,0.0085869226534345,0.0085869226534345
"110","D.Williams-00-0024242",2017,0.0388529224970371,0.0335820198205279,0.0441966475590613,0.116631589876626
"111","D.Williams-00-0024242",2018,0.0233117534982222,0.0201492118923168,0.0248006040047499,0.0682615693952889
"112","D.Wynn-00-0025615",2016,NA,NA,NA,NA
"113","D.Wynn-00-0025615",2017,NA,NA,NA,NA
"114","D.Wynn-00-0025615",2018,NA,NA,NA,NA
"115","E.Graham-00-0021755",2016,NA,NA,NA,NA
"116","E.Graham-00-0021755",2017,NA,NA,NA,NA
"117","E.Graham-00-0021755",2018,NA,NA,NA,NA
"118","E.James-00-0008241",2016,NA,NA,NA,NA
"119","E.James-00-0008241",2017,NA,NA,NA,NA
